Id,Duration,Earliest Start Time,Latest Start Time,Earliest End Time,Latest End Time,Predecessors,Holgura,Es Camino Critico?
1,26,0,0,26,26,start,0,true
2,8,58,58,66,66,3;5,0,true
3,10,26,48,36,58,1,22,false
4,16,26,26,42,42,1,0,true
5,16,42,42,58,58,4,0,true
6,8,58,58,66,66,5,0,true
7,10,66,74,76,84,6,8,false
8,9,75,75,84,84,9;10,0,true
9,9,66,66,75,75,2;6,0,true
10,8,58,67,66,75,5,9,false
11,3,84,84,87,87,7;8,0,true
12,3,84,84,87,87,8,0,true
13,2,87,87,89,89,11,0,true
14,16,89,97,105,113,13,8,false
15,8,105,113,113,121,14,8,false
16,16,89,89,105,105,13,0,true
17,16,105,105,121,121,16,0,true
18,8,121,121,129,129,15;17,0,true
19,8,129,129,137,137,18,0,true
20,3,137,137,140,140,19,0,true
21,3,137,137,140,140,19,0,true
22,2,140,140,142,142,20,0,true
23,16,142,142,158,158,22,0,true
24,16,142,142,158,158,22,0,true
25,16,142,142,158,158,22,0,true
26,16,142,142,158,158,22,0,true
27,8,158,158,166,166,23;24;25;26,0,true
28,2,195,195,197,197,135,0,true
29,2,195,195,197,197,135,0,true
30,2,197,197,199,199,28,0,true
31,16,199,199,215,215,30,0,true
32,16,199,199,215,215,30,0,true
33,16,199,199,215,215,30,0,true
34,16,199,199,215,215,30,0,true
35,10,215,215,225,225,31;32;33;34,0,true
36,3,225,225,228,228,35,0,true
37,3,225,225,228,228,35,0,true
38,3,228,228,231,231,36,0,true
39,16,231,231,247,247,38,0,true
40,16,231,231,247,247,38,0,true
41,16,231,231,247,247,38,0,true
42,16,231,231,247,247,38,0,true
43,10,247,247,257,257,39;40;41;42,0,true
44,3,257,257,260,260,43,0,true
45,3,257,257,260,260,43,0,true
46,3,260,260,263,263,44,0,true
47,16,263,263,279,279,46,0,true
48,16,263,263,279,279,46,0,true
49,16,263,263,279,279,46,0,true
50,16,263,263,279,279,46,0,true
51,10,279,279,289,289,47;48;49;50,0,true
52,3,289,289,292,292,51,0,true
53,3,289,289,292,292,51,0,true
54,2,292,292,294,294,52,0,true
55,16,294,294,310,310,54,0,true
56,16,294,294,310,310,54,0,true
57,16,294,294,310,310,54,0,true
58,16,294,294,310,310,54,0,true
59,8,310,310,318,318,55;56;57;58,0,true
60,3,318,318,321,321,59,0,true
61,3,318,318,321,321,59,0,true
62,2,321,321,323,323,60,0,true
63,28,323,323,351,351,62,0,true
64,28,351,351,379,379,63,0,true
65,16,379,379,395,395,64,0,true
66,3,395,395,398,398,65,0,true
67,3,395,395,398,398,65,0,true
68,2,398,398,400,400,66,0,true
69,18,400,400,418,418,68,0,true
70,18,400,400,418,418,68,0,true
71,18,418,418,436,436,69;70,0,true
72,18,436,436,454,454,71,0,true
73,4,454,454,458,458,72,0,true
128,3,166,166,169,169,27,0,true
129,3,166,166,169,169,27,0,true
130,2,169,169,171,171,128,0,true
131,16,171,171,187,187,130,0,true
132,16,171,171,187,187,130,0,true
133,16,171,171,187,187,130,0,true
134,16,171,171,187,187,130,0,true
135,8,187,187,195,195,131;132;133;134,0,true
